num_of_features,hidden_layer_size,momentum,mean_score,std_score
1,20,0.0,0.2965829,0.026925416
1,20,0.9,0.29258487,0.046502651
1,30,0.0,0.26881794,0.056256095
1,30,0.9,0.28992905,0.046873518
1,40,0.0,0.28459571,0.04506264
1,40,0.9,0.30744223,0.057740522
1,50,0.0,0.30170682,0.045982638
1,50,0.9,0.29437349,0.033602313
1,60,0.0,0.30947623,0.046886769
1,60,0.9,0.29347721,0.053458037
1,70,0.0,0.30235181,0.033955259
1,70,0.9,0.29970682,0.045922056
1,80,0.0,0.27501404,0.055665547
1,80,0.9,0.28059571,0.037581842
1,90,0.0,0.28591821,0.056178055
1,90,0.9,0.2863794,0.06292349
1,100,0.0,0.31058783,0.055467197
1,100,0.9,0.29103178,0.066909452
2,20,0.0,0.4364405,0.068147628
2,20,0.9,0.4688135,0.013844235
2,30,0.0,0.45661592,0.024335447
2,30,0.9,0.45549199,0.016652641
2,40,0.0,0.4617152,0.013444435
2,40,0.9,0.45772949,0.024254396
2,50,0.0,0.45794925,0.020516475
2,50,0.9,0.44172801,0.022190645
2,60,0.0,0.45860557,0.010814126
2,60,0.9,0.45861,0.012542905
2,70,0.0,0.44639271,0.017454523
2,70,0.9,0.44105642,0.018854887
2,80,0.0,0.45705691,0.01773198
2,80,0.9,0.45150234,0.0083474298
2,90,0.0,0.44995023,0.018045066
2,90,0.9,0.45128455,0.015318093
2,100,0.0,0.45460606,0.0089213851
2,100,0.9,0.45795516,0.020176214
3,20,0.0,0.55405124,0.016388203
3,20,0.9,0.54895097,0.032081608
3,30,0.0,0.56450062,0.016812647
3,30,0.9,0.56317073,0.019021144
3,40,0.0,0.56383198,0.013812237
3,40,0.9,0.56049864,0.014413013
3,50,0.0,0.56871742,0.018088022
3,50,0.9,0.56427987,0.017758452
3,60,0.0,0.56339542,0.021719744
3,60,0.9,0.56183543,0.018776454
3,70,0.0,0.56028431,0.017084342
3,70,0.9,0.56338458,0.012261686
3,80,0.0,0.56182951,0.011525121
3,80,0.9,0.56449667,0.013656839
3,90,0.0,0.55894999,0.01893763
3,90,0.9,0.56805124,0.016289182
3,100,0.0,0.5616206,0.022682613
3,100,0.9,0.55761321,0.013111183
4,20,0.0,0.54300912,0.12356422
4,20,0.9,0.53892831,0.11587946
4,30,0.0,0.58314412,0.017214922
4,30,0.9,0.58424489,0.016424652
4,40,0.0,0.59623553,0.0097142972
4,40,0.9,0.5940202,0.016608667
4,50,0.0,0.59713082,0.019394081
4,50,0.9,0.60090663,0.020211784
4,60,0.0,0.59912639,0.018185434
4,60,0.9,0.60423011,0.017356527
4,70,0.0,0.58758463,0.024846132
4,70,0.9,0.6022306,0.017295921
4,80,0.0,0.59778714,0.010780917
4,80,0.9,0.5935728,0.016042501
4,90,0.0,0.59978418,0.0124732
4,90,0.9,0.61066814,0.015715578
4,100,0.0,0.6024474,0.014103197
4,100,0.9,0.59979601,0.02047676
5,20,0.0,0.58801478,0.028140599
5,20,0.9,0.53935058,0.15252537
5,30,0.0,0.61244149,0.018507388
5,30,0.9,0.60933087,0.012335974
5,40,0.0,0.62797142,0.0114573
5,40,0.9,0.61198571,0.015486276
5,50,0.0,0.61177334,0.015896471
5,50,0.9,0.61776644,0.017755446
5,60,0.0,0.62420695,0.013394213
5,60,0.9,0.62331609,0.013256235
5,70,0.0,0.63197635,0.012970335
5,70,0.9,0.62486819,0.012255543
5,80,0.0,0.62953634,0.017612346
5,80,0.9,0.62265928,0.018119126
5,90,0.0,0.62885735,0.015865317
5,90,0.9,0.62042671,0.016502501
5,100,0.0,0.6186578,0.017527975
5,100,0.9,0.6279798,0.015534503
6,20,0.0,0.5840271,0.035326505
6,20,0.9,0.61288396,0.01879404
6,30,0.0,0.61953338,0.012651239
6,30,0.9,0.61310668,0.017238703
6,40,0.0,0.6264341,0.021275325
6,40,0.9,0.62887756,0.021290104
6,50,0.0,0.63840995,0.016558507
6,50,0.9,0.63464055,0.021255627
6,60,0.0,0.6319862,0.021983482
6,60,0.9,0.63708598,0.019815947
6,70,0.0,0.63108007,0.015610207
6,70,0.9,0.62664991,0.024410918
6,80,0.0,0.6426307,0.015035361
6,80,0.9,0.64395763,0.012452516
6,90,0.0,0.64196797,0.023593927
6,90,0.9,0.63751269,0.01964079
6,100,0.0,0.64241587,0.021122768
6,100,0.9,0.63263267,0.014019884
7,20,0.0,0.52997339,0.2060392
7,20,0.9,0.57332545,0.14592424
7,30,0.0,0.64461838,0.0096891737
7,30,0.9,0.59430303,0.17629554
7,40,0.0,0.65128603,0.017322755
7,40,0.9,0.65040158,0.016958005
7,50,0.0,0.64484504,0.014932413
7,50,0.9,0.65593594,0.006967835
7,60,0.0,0.66394728,0.024761824
7,60,0.9,0.65460951,0.01160757
7,70,0.0,0.65794383,0.014057278
7,70,0.9,0.66126386,0.016445995
7,80,0.0,0.65727815,0.022069534
7,80,0.9,0.66061592,0.023129268
7,90,0.0,0.66770535,0.015579286
7,90,0.9,0.66682237,0.019868942
7,100,0.0,0.66838482,0.018602473
7,100,0.9,0.66170633,0.021564376
8,20,0.0,0.6277492,0.01774495
8,20,0.9,0.64684011,0.026284107
8,30,0.0,0.65417935,0.02485127
8,30,0.9,0.6515053,0.017595651
8,40,0.0,0.66993102,0.017362146
8,40,0.9,0.66971077,0.022443412
